"","DATE_TIME","Sum_AC","DATE"
"336","2020-05-18 14:30:00",14196.6125,2020-05-18
"337","2020-05-18 14:45:00",13657.8089286,2020-05-18
"338","2020-05-18 15:00:00",16816.5267857,2020-05-18
"339","2020-05-18 15:15:00",17090.8357142,2020-05-18
"340","2020-05-18 15:30:00",16215.6071431,2020-05-18
"341","2020-05-18 15:45:00",15143.7982143,2020-05-18
"342","2020-05-18 16:00:00",12760.117857,2020-05-18
"343","2020-05-18 16:15:00",9176.6285715,2020-05-18
"344","2020-05-18 16:30:00",8010.3750001,2020-05-18
"345","2020-05-18 16:45:00",6254.0428572,2020-05-18
"346","2020-05-18 17:00:00",4791.9446428,2020-05-18
"347","2020-05-18 17:15:00",3576.0178571,2020-05-18
"348","2020-05-18 17:30:00",2452.0303572,2020-05-18
"349","2020-05-18 17:45:00",1567.8125,2020-05-18
"350","2020-05-18 18:00:00",905.02142858,2020-05-18
"351","2020-05-18 18:15:00",351.88392856,2020-05-18
"352","2020-05-18 18:30:00",1.725,2020-05-18
"353","2020-05-18 18:45:00",0,2020-05-18
"354","2020-05-18 19:00:00",0,2020-05-18
"355","2020-05-18 19:15:00",0,2020-05-18
"356","2020-05-18 19:30:00",0,2020-05-18
"357","2020-05-18 19:45:00",0,2020-05-18
"358","2020-05-18 20:00:00",0,2020-05-18
"359","2020-05-18 20:15:00",0,2020-05-18
"360","2020-05-18 20:30:00",0,2020-05-18
"361","2020-05-18 20:45:00",0,2020-05-18
"362","2020-05-18 21:00:00",0,2020-05-18
"363","2020-05-18 21:15:00",0,2020-05-18
"364","2020-05-18 21:30:00",0,2020-05-18
"365","2020-05-18 21:45:00",0,2020-05-18
"366","2020-05-18 22:00:00",0,2020-05-18
"367","2020-05-18 22:15:00",0,2020-05-18
"368","2020-05-18 22:30:00",0,2020-05-18
"369","2020-05-18 22:45:00",0,2020-05-18
"370","2020-05-18 23:00:00",0,2020-05-18
"371","2020-05-18 23:15:00",0,2020-05-18
"372","2020-05-18 23:30:00",0,2020-05-18
"373","2020-05-18 23:45:00",0,2020-05-18
"374","2020-05-19 00:00:00",0,2020-05-19
"375","2020-05-19 00:15:00",0,2020-05-19
"376","2020-05-19 00:30:00",0,2020-05-19
"377","2020-05-19 00:45:00",0,2020-05-19
"378","2020-05-19 01:00:00",0,2020-05-19
"379","2020-05-19 01:15:00",0,2020-05-19
